Array;Group
GSM50690;African green monkey whole blood
GSM50691;African green monkey whole blood
GSM50692;African green monkey whole blood
GSM50693;African green monkey whole blood
GSM50694;cynomologus macaque whole blood
GSM50695;cynomologus macaque whole blood
GSM50696;cynomologus macaque whole blood
GSM50697;cynomologus macaque whole blood
GSM50698;human whole blood
GSM50699;human whole blood
GSM50700;human whole blood
GSM50701;human whole blood
GSM50702;human whole blood
GSM50703;rhesus macaque whole blood
GSM50704;rhesus macaque whole blood
GSM50705;rhesus macaque whole blood
GSM50706;rhesus macaque whole blood
